from,to,count
-1,76711,1
2,5,1
5,2,1
5,179,1
222,344,1
453,489,1
500,538,1
538,439,1
538,652,1
652,759,1
708,538,1
759,911,1
878,955,1
878,1041,1
878,1107,1
911,994,1
938,878,1
958,911,1
998,1079,1
1107,1135,1
1135,998,1
1257,1287,1
1287,1308,1
1308,1433,1
1433,1422,1
1433,1564,1
1455,1476,1
1472,1455,1
1476,1472,1
1564,1718,1
1718,1977,1
1867,2034,1
1875,2165,1
1909,2279,1
1977,1972,1
2034,1875,1
2165,2223,1
2223,2279,1
2279,2302,1
2279,2304,1
2285,2306,1
2302,2285,1
2304,1909,1
2306,2329,1
2306,2467,1
2306,2537,1
2329,2421,1
2421,2306,1
2474,2306,1
2474,2774,1
2774,2870,1
2834,3025,1
2847,3110,1
2870,2899,1
2899,2849,1
2997,3069,1
3025,2997,1
3070,3134,1
3070,3313,1
3110,3070,1
3134,3070,1
3270,3413,1
3313,3378,1
3378,3270,1
3413,3484,1
3484,3602,1
3602,3614,1
3614,3640,1
3640,3529,1
3661,3945,1
3671,3661,1
3945,4102,1
4095,4102,1
4102,4095,1
4102,4188,1
4167,4282,1
4188,4167,1
4265,4319,1
4281,4265,1
4319,4349,1
4399,4426,1
4426,4507,1
4507,4526,1
4526,4507,1
4581,4595,1
4595,4698,1
4698,4706,1
4706,4794,1
4817,4814,1
4844,4856,1
4864,-1,1
4956,5039,1
5039,5043,1
5043,5064,1
5064,5182,1
5195,5201,1
5201,5262,1
5262,5340,1
5340,5363,1
5355,5476,1
5355,5510,1
5355,5659,1
5363,5368,1
5373,5386,1
5476,5355,1
5476,5777,1
5498,5355,1
5510,5715,1
5659,5510,1
5715,5779,1
5777,5809,1
5779,5476,1
5809,5858,1
5872,5905,1
5905,5931,1
5931,6186,1
5934,5941,1
5941,5931,1
6186,6279,1
6279,6493,1
6533,6547,1
6547,6736,1
6663,6768,1
6768,6806,1
6804,6890,1
6890,6896,1
6896,6877,1
6947,7074,1
7074,7065,1
7244,7454,1
7412,7454,1
7412,7543,1
7427,7412,1
7454,7402,1
7454,7412,1
7561,7798,1
7634,7683,1
7683,7704,1
7704,7543,1
7733,7764,1
7764,7561,1
7798,7881,1
7820,7970,1
7822,7841,1
7840,7822,1
7881,7817,1
7964,8038,1
7970,7964,1
8038,7962,1
8101,7964,1
8151,8157,1
8157,8235,1
8157,8289,1
8235,8157,1
8235,8449,1
8374,8382,1
8382,8235,1
8449,8573,1
8557,8602,1
8573,8557,1
8584,8973,1
8602,8584,1
8973,8987,1
8987,8995,1
8995,9010,1
9004,9073,1
9018,9004,1
9072,9262,1
9073,9072,1
9205,9348,1
9262,9205,1
9313,9407,1
9407,9459,1
9459,9555,1
9582,9662,1
9627,9582,1
9662,9891,1
9834,9880,1
9875,9933,1
9887,9875,1
9933,10007,1
10012,10119,1
10086,10224,1
10119,10178,1
10178,10086,1
10216,10364,1
10227,10216,1
10364,10416,1
10416,10458,1
10458,10466,1
10466,10672,1
10694,10778,1
10778,10798,1
10798,10838,1
10838,10846,1
10917,11110,1
11065,11171,1
11074,11065,1
11171,11328,1
11328,11362,1
11329,11436,1
11362,11433,1
11396,11555,1
11436,11396,1
11555,11396,1
11623,11507,1
11669,11718,1
11724,11768,1
11813,12101,1
12074,12495,1
12085,12074,1
12495,12579,1
12579,12660,1
12660,12681,1
12681,12760,1
12711,12878,1
12760,12825,1
12878,12943,1
12894,12878,2
12987,13199,1
13113,13081,1
13120,13239,1
13120,13353,1
13205,13224,1
13224,13120,1
13236,13237,1
13237,13120,1
13350,13470,1
13470,13558,1
13558,13765,1
13765,13685,1
13765,13799,1
13799,13931,1
13829,13883,1
13927,13967,1
13967,13878,1
14057,14110,1
14097,14173,1
14110,14140,1
14136,14320,1
14140,14245,1
14173,14140,1
14242,14136,1
14245,14242,1
14320,14352,1
14352,14400,1
14352,14519,1
14400,14352,1
14461,14352,1
14516,14580,1
14580,14583,1
14587,14636,1
14658,14618,1
14685,14728,1
14728,14783,1
14783,14806,1
14783,14875,1
14806,14763,1
14880,14955,1
14955,15150,1
15150,15469,1
15469,15548,1
15671,15699,1
15699,15700,1
15700,15519,1
15740,15923,1
15820,15932,1
15870,16003,1
15923,15889,1
15932,15959,1
15959,15974,1
16053,16152,1
16152,-1,1
16275,-1,1
16287,16312,1
16308,16315,1
16312,16319,1
16315,16345,1
16374,16429,1
16445,16495,1
16495,16550,1
16550,16573,1
16571,16610,1
16573,16571,1
16615,16632,1
16632,16634,1
16634,16759,1
16759,16774,1
16774,16913,1
16853,16913,1
16913,17013,1
17013,17021,1
17021,17097,1
17097,17321,1
17321,17410,1
17383,17411,1
17410,17383,1
17411,17489,1
17482,17634,1
17489,17482,1
17705,17784,1
17775,17782,1
17785,17775,1
17789,17887,1
17865,18167,1
17887,17983,1
17889,17983,1
17983,17889,1
17983,18042,1
18042,17889,1
18051,17865,1
18210,18215,1
18212,18329,1
18215,18212,1
18329,18395,1
18372,18423,1
18380,18401,1
18395,18372,1
18401,18448,1
18430,18395,1
18448,18716,1
18781,18797,1
18782,18944,1
18882,18898,1
18898,19014,1
18931,18996,1
18944,18882,1
18986,18780,1
18995,19260,1
18996,18995,1
19191,19238,1
19238,19301,3
19260,19191,1
19301,19238,2
19301,19519,1
19519,19695,1
19690,19728,1
19695,19690,1
19728,19784,1
19777,19825,1
19784,19777,1
19825,19903,1
19903,19921,1
19921,19936,1
19964,20014,1
20014,20020,1
20020,-1,1
20063,20103,1
20103,20136,1
20136,20204,1
20202,20224,1
20206,20236,1
20227,20206,1
20298,20299,1
20298,20332,1
20332,20353,1
20353,20331,1
20358,20454,1
20388,20358,1
20425,20507,1
20454,20425,1
20507,21220,1
21187,21211,1
21211,21335,1
21220,21187,1
21335,21394,1
21362,21524,1
21420,21422,1
21422,21362,1
21427,21423,1
21524,21549,1
21531,21765,1
21549,21526,1
21591,21608,1
21608,21531,1
21765,21786,1
21765,21821,1
21765,21868,1
21821,21765,1
21868,21984,1
22013,22045,1
22045,22060,1
22060,22058,1
22220,22234,1
22232,22266,1
22234,22261,1
22239,22439,1
22261,22232,1
22266,22296,1
22296,22241,1
22337,22239,1
22350,22331,1
22439,22463,1
22463,22467,1
22469,22489,1
22473,22504,1
22504,22642,1
22565,22880,1
22637,22743,1
22642,22655,1
22655,22637,1
22700,22565,1
22737,22565,1
22767,22700,1
22869,22878,1
22880,22899,1
22902,22962,1
22962,23308,1
23043,22962,1
23194,22913,1
23308,23314,1
23314,23382,1
23564,23612,1
23612,23710,1
23651,23883,1
23710,23776,1
23768,23767,1
23776,23771,1
23810,23811,1
23814,23892,1
23883,23887,1
23887,23956,1
23905,23651,1
24010,24242,1
24026,24072,1
24058,24010,1
24072,24058,1
24109,24208,1
24208,24214,1
24214,24208,1
24242,24254,1
24254,24256,1
24294,24385,1
24306,24302,1
24331,24354,1
24354,24331,1
24385,24411,1
24393,24411,1
24410,24518,1
24411,24443,1
24443,24393,1
24518,24508,1
24566,24624,1
24624,24706,1
24624,24755,1
24655,24813,1
24706,24624,1
24753,24916,1
24755,24753,1
24808,24998,1
24821,24753,1
24888,24863,1
24910,24808,1
24998,24997,1
24998,25230,1
25230,-1,1
25309,25324,1
25320,25322,1
25324,25320,1
25382,25390,1
25390,25382,1
25390,25384,1
25434,25508,1
25508,25656,1
25656,25559,1
25688,25656,1
25761,25776,1
25801,25559,1
25833,25914,1
25914,26346,1
26158,26416,1
26296,26327,1
26342,26642,1
26346,26296,1
26363,26327,1
26642,26655,1
26655,26788,1
26788,26816,1
26816,26783,1
26874,27023,1
26992,27193,1
27015,27107,1
27023,27015,1
27097,27176,2
27170,27225,1
27176,27170,1
27225,27327,1
27327,27397,1
27382,27468,1
27397,27445,1
27445,27382,1
27496,27382,1
27496,27535,1
27535,27655,1
27655,27694,1
27717,27784,1
27784,28023,1
27990,28247,1
28023,28048,1
28048,27990,1
28142,28262,1
28143,28265,1
28247,28259,1
28250,28194,1
28265,28143,1
28384,28400,1
28400,28790,1
28439,28142,1
28751,29187,1
28790,28807,1
28810,28751,1
28825,28874,1
28825,28898,1
28917,28951,1
29021,28810,1
29183,29250,1
29183,29251,1
29187,29183,1
29249,29419,1
29251,29260,1
29260,29250,1
29419,29457,1
29457,29431,1
29468,29632,1
29632,29468,1
29660,29665,1
29660,29817,1
29665,29660,1
29691,29876,1
29691,29977,1
29705,29660,1
29817,29876,1
29856,29975,1
29908,29957,1
30006,30073,1
30075,30138,1
30076,30075,1
30138,30172,1
30146,30344,1
30172,30200,1
30200,30146,1
30344,30381,1
30381,30391,1
30388,30471,1
30399,30757,1
30444,30502,1
30471,30545,1
30502,30602,1
30545,30534,1
30548,30545,1
30602,30399,1
30755,30823,1
30823,30894,1
30931,31047,1
30954,31017,1
31000,31001,1
31002,31000,1
31047,31002,1
31064,-1,1
31105,31016,1
31136,31294,1
31139,31740,1
31139,31811,1
31140,31178,1
31195,31178,1
31215,31239,1
31218,31294,1
31239,31218,1
31294,31420,1
31533,31657,1
31583,31139,1
31657,31139,1
31799,31139,1
31859,31879,1
31877,31975,1
31877,32063,1
31877,32095,1
31889,31877,1
32052,32265,1
32073,-1,1
32095,31859,1
32106,32073,1
32183,32238,1
32263,32322,1
32322,32325,1
32325,32440,1
32431,32450,1
32450,32472,1
32452,32478,1
32472,32452,1
32493,32519,1
32493,33039,1
32519,32493,2
33039,33286,1
33286,33306,1
33302,33324,1
33306,33272,1
33311,33302,1
33321,33341,1
33334,33392,1
33341,33334,1
33392,33533,1
33464,33686,1
33533,33464,1
33628,33835,1
33686,33628,1
33812,33917,1
33835,33812,1
33917,34043,1
34043,34067,1
34059,34061,1
34061,34104,1
34104,34146,1
34132,34255,1
34132,34524,1
34146,34175,1
34255,34132,1
34316,34708,1
34524,34582,1
34569,34627,1
34627,34583,1
34730,34751,1
34751,34984,1
34785,34751,1
34927,34751,1
34984,35174,1
35057,35354,1
35199,35214,1
35214,35229,1
35229,35057,1
35433,35468,1
35447,35471,1
35471,35499,1
35516,35713,1
35731,36024,1
36012,36025,1
36023,36025,1
36023,36131,1
36025,36023,1
36188,36381,1
36381,36477,1
36477,36601,1
36601,36699,1
36685,36744,1
36699,36685,1
36722,36831,1
36744,36722,1
36807,36831,2
36831,36978,1
36978,36993,1
36995,36992,1
37032,37067,1
37050,37163,1
37064,37050,1
37064,37171,1
37067,37064,1
37163,37064,1
37208,37171,2
37253,37308,1
37308,37394,1
37340,37348,1
37348,37308,1
37394,37463,1
37394,37553,1
37463,37394,1
37553,37583,1
37642,37768,1
37648,37681,1
37681,37720,1
37765,37914,1
37804,37912,1
37914,38010,1
37983,37985,1
37983,37996,1
38037,38198,1
38140,38229,1
38205,38229,1
38211,38205,1
38229,38140,1
38229,38242,1
38242,38337,1
38279,38470,1
38354,38122,1
38394,38487,1
38470,38441,1
38470,38636,1
38636,38601,1
38658,38739,1
38687,38702,1
38739,38776,1
38776,38942,1
38860,39034,1
38942,38860,1
39032,39093,1
39093,39097,1
39093,39101,1
39097,39093,1
39101,38989,1
39101,39251,1
39137,39368,1
39178,38989,1
39229,39137,1
39366,39411,1
39378,39429,1
39379,39378,1
39379,39526,1
39405,39379,1
39426,39379,1
39429,39366,1
39538,39623,1
39563,39538,1
39623,39688,1
39684,39828,1
39688,39684,1
39892,39895,1
39895,39988,1
39988,40156,1
40156,40265,1
40265,40296,1
40296,40345,1
40364,40559,1
40458,40364,1
40475,40539,1
40475,40557,1
40557,40475,1
40557,40777,1
40559,40458,1
40631,40619,1
40709,40813,1
40777,40557,1
40777,40709,1
40777,40877,1
40786,40777,1
40786,40854,1
40813,40779,1
40848,40924,1
40879,40848,1
40879,40877,1
40881,40813,1
41019,41069,1
41069,41240,1
41240,41304,1
41312,41315,1
41325,41370,1
41326,41372,1
41410,41519,1
41519,41692,1
41634,41745,1
41717,41634,1
41791,41874,1
41807,41820,1
41896,41925,1
41922,42023,1
42045,42058,1
42058,42115,1
42115,42295,1
42229,42828,1
42231,42373,1
42246,42231,1
42295,42234,1
42373,42505,1
42491,42562,1
42531,42230,1
42545,42550,1
42562,42573,1
42573,42569,1
42578,42666,1
42638,42708,1
42666,42638,1
42667,42584,1
42714,42229,1
42828,43056,1
43047,43106,1
43056,43074,1
43074,43047,1
43117,43209,1
43120,43214,1
43120,43310,1
43120,43328,1
43209,43120,1
43214,43298,1
43252,43335,1
43318,43310,1
43328,43252,1
43328,43356,1
43335,43426,1
43426,43120,1
43502,43481,1
43526,43570,1
43548,43551,1
43551,43741,1
43570,43610,1
43740,43810,1
43845,43910,1
43858,43897,1
43858,43960,1
43897,43858,1
43910,43810,1
43960,44049,1
44059,44113,1
44118,44160,1
44160,44227,1
44197,44320,1
44227,44160,1
44320,44411,1
44411,44470,1
44470,44518,1
44525,44574,1
44574,44639,1
44646,44777,1
44777,44812,1
44812,44831,1
44831,44802,1
44853,44879,1
44879,44909,1
44905,44920,1
44909,44905,1
44920,44946,1
44946,45152,1
45152,45131,1
45159,-1,1
45206,45272,1
45272,45159,1
45391,45398,1
45398,45450,1
45398,45609,1
45450,45398,1
45598,45669,1
45609,45598,1
45609,45780,1
45669,45780,1
45669,45877,1
45780,45609,1
45780,45750,1
45923,45913,1
45969,46203,1
46115,46121,1
46121,46207,1
46121,46279,1
46207,46213,1
46213,46304,1
46279,46287,1
46279,46391,1
46287,46337,1
46357,46362,1
46387,46279,1
46388,46408,1
46408,46664,1
46640,46490,1
46664,46722,1
46722,46640,1
46826,47032,1
46912,46826,1
46923,47095,1
46947,46923,1
46976,47032,1
47022,47032,1
47032,46391,1
47095,47187,1
47187,47179,1
47252,47266,1
47309,47335,1
47418,47464,1
47464,47477,1
47477,47550,1
47508,47599,1
47565,47584,1
47616,47636,1
47619,47616,1
47636,47477,1
47656,47801,1
47740,47894,1
47788,47885,1
47800,47788,1
47872,47740,1
47898,47916,1
47916,48003,1
47943,47898,1
48003,48117,1
48117,48296,1
48180,48345,1
48296,48357,1
48347,48373,1
48357,48180,1
48373,48464,1
48457,48695,1
48461,48470,1
48464,48475,1
48470,48461,1
48695,48807,1
48807,48830,1
48842,48967,1
48875,48885,1
48875,48960,1
48967,48984,1
49011,49285,1
49097,49011,1
49285,49354,1
49310,49424,1
49433,49917,1
49464,49534,1
49517,49737,1
49520,49517,1
49523,49598,1
49523,49833,1
49534,49523,1
49598,49690,1
49690,49737,1
49737,49520,1
49737,49523,1
49833,49838,1
49914,49950,1
49917,49950,1
49950,49914,1
49950,49961,1
49961,50373,1
50005,50020,1
50020,49950,1
50020,50098,1
50306,50464,1
50373,50438,1
50386,50423,1
50422,50677,1
50423,50306,1
50438,50760,1
50439,50464,1
50464,50595,1
50580,50422,1
50595,50602,1
50602,50580,1
50760,50829,1
50826,51114,1
50828,50826,1
50829,50841,1
50841,50826,1
51114,51182,1
51114,51189,3
51189,51114,2
51189,51565,10
51189,52042,1
51565,51189,10
51565,51739,1
51565,52585,3
51565,52740,1
51565,52751,1
51565,53197,4
51565,53209,4
51565,54264,5
51565,55364,4
51739,51189,1
52042,51189,1
52585,51565,2
52585,52805,1
52585,52837,1
52585,53158,1
52585,53197,1
52740,52585,1
52751,52740,1
52837,51565,1
53197,51565,1
53197,53209,7
53197,53698,1
53197,53892,1
53197,54056,1
53197,54264,3
53197,55364,4
53197,56129,1
53197,56563,1
53209,51565,8
53209,53197,4
53209,53298,1
53209,53743,1
53209,53784,1
53209,54264,6
53298,51565,1
53410,53197,1
53508,53547,1
53547,53197,1
53698,53209,1
53743,53197,1
53784,53209,1
53892,53209,2
54056,51565,1
54264,51565,6
54264,53197,5
54264,53209,8
54264,55215,1
54264,55364,3
54264,56566,1
54602,54264,1
55215,53197,1
55364,51565,5
55364,53197,3
55364,54264,7
56129,56175,1
56175,55364,1
56563,56566,1
56566,54264,1
56566,56620,1
56566,56955,1
56951,56962,1
56955,56996,1
56962,56637,1
56996,56951,1
57057,57172,1
57059,57057,1
57178,57141,1
57264,57469,1
57287,57306,1
57306,57264,1
57469,57800,1
57537,57469,1
57800,57832,1
57832,57873,1
57832,57931,1
57844,58067,1
57927,57980,1
57931,57927,1
57980,57832,1
57996,58119,1
58002,57873,1
58002,58035,1
58035,57996,1
58035,58067,1
58119,58284,1
58216,58482,1
58284,58216,1
58446,58596,1
58468,58509,1
58482,58468,1
58509,58515,1
58548,58446,1
58548,58649,1
58557,58548,1
58557,58649,1
58648,58797,1
58649,58676,1
58676,58703,1
58688,58807,1
58760,58688,1
58798,58893,1
58831,58797,1
58893,58967,1
58948,59269,1
58967,58924,1
59209,59289,1
59269,59209,1
59289,59590,1
59540,59937,1
59590,59540,1
60009,60034,1
60034,59999,1
60066,60437,1
60437,60333,1
60542,60560,1
60560,60518,1
60573,60846,1
60583,60623,1
60623,60645,1
60645,60621,1
60846,60913,1
60846,60959,1
60913,61030,1
61030,61034,1
61034,61054,1
61050,61048,1
61075,61079,1
61079,61257,1
61256,61248,1
61257,61314,1
61299,61327,1
61314,61256,1
61327,61396,1
61396,61454,1
61576,61639,1
61639,61651,1
61651,61711,1
61674,61734,1
61711,61738,1
61734,61789,1
61738,61674,1
61902,62010,1
61966,62060,1
61966,62213,1
62024,61966,1
62085,62376,1
62139,62085,1
62213,61966,1
62260,62213,1
62321,62452,1
62376,62085,1
62379,62321,1
62478,62485,1
62485,62509,1
62509,62529,1
62529,62638,1
62632,62666,1
62666,62756,1
62689,62741,1
62689,62770,1
62697,62955,1
62741,62848,1
62756,62689,1
62770,62774,1
62774,62782,1
62782,62786,1
62849,62830,1
62954,63138,1
62955,62964,1
62964,62945,1
63128,63226,1
63138,63271,1
63212,63530,1
63212,63576,1
63221,63128,1
63271,63172,1
63275,63221,1
63350,63463,1
63463,63472,1
63472,63652,1
63577,63570,1
63654,63472,1
63656,63652,1
63716,63854,1
63748,64048,1
63789,64116,1
63847,63810,1
63953,64115,1
64048,63953,1
64115,64233,1
64198,64367,1
64233,64198,1
64367,64384,1
64384,64396,1
64396,64529,1
64420,64683,1
64529,64471,1
64678,64727,1
64683,64678,1
64727,64899,1
64773,65015,1
64833,64828,1
64899,64878,1
64909,64833,1
64921,64773,1
65015,65152,1
65032,65184,1
65193,65332,1
65193,65337,1
65332,65424,1
65337,65298,1
65337,65397,1
65397,65193,1
65424,65425,1
65425,65515,1
65494,65546,1
65511,65611,1
65515,65494,1
65546,65511,1
65611,65665,1
65665,65732,1
65740,65759,1
65759,65768,1
65768,66179,1
66179,66216,1
66216,66339,1
66339,66495,1
66470,66490,1
66470,66650,1
66479,66470,1
66479,66490,1
66490,66479,1
66490,66551,1
66551,66479,1
66650,66709,1
66709,66750,1
66770,66790,1
66790,66925,1
66815,66770,1
67237,67280,1
67296,67362,1
67362,67390,1
67390,67407,1
67407,67471,1
67471,67564,1
67498,67553,1
67502,67556,1
67553,67622,1
67556,67586,1
67564,67498,1
67580,67673,1
67632,67694,1
67673,67632,1
67694,67844,1
67844,67968,1
67943,67983,1
67968,68115,1
67987,67943,1
68066,67968,1
68115,68212,2
68212,68115,1
68212,68230,1
68223,68312,1
68312,68514,1
68514,68599,1
68582,68827,1
68599,68582,1
68599,68706,1
68629,68497,1
68706,68582,1
68816,69122,1
68837,68817,1
68855,68837,1
69082,69117,1
69089,69149,1
69122,69082,1
69164,69112,1
69165,69164,1
69165,69278,1
69278,69471,1
69428,69490,1
69428,69646,1
69471,69428,1
69490,69587,1
69595,69620,1
69646,69682,1
69682,69702,1
69702,69730,1
69702,69853,1
69730,69750,1
69846,69881,1
69881,69882,1
69882,70091,1
69937,70242,1
70091,70208,1
70127,70242,1
70208,69937,1
70242,70398,1
70398,70583,1
70573,70792,1
70583,70573,1
70641,70573,1
70792,70819,1
70819,70966,1
70943,71102,1
70957,71006,1
71006,71028,1
71017,70943,1
71056,71140,1
71092,71377,1
71111,71056,1
71231,71296,1
71240,71276,1
71296,71092,1
71377,71260,1
71378,71379,1
71443,71471,1
71454,71460,1
71460,71542,1
71465,71454,1
71468,71465,1
71468,71556,1
71471,71468,1
71542,71528,1
71556,71825,1
71560,71588,1
71588,71589,1
71589,71468,1
71789,71824,1
71830,71859,1
71830,72016,1
71859,71903,1
71859,71932,1
71903,71859,1
71953,71971,1
72097,72133,1
72133,72139,1
72145,72577,1
72146,72211,1
72171,72136,1
72171,72146,1
72211,72172,1
72309,72323,1
72310,72309,1
72314,72315,1
72322,72145,1
72322,72212,1
72323,72314,1
72573,72731,1
72576,72768,1
72576,72957,1
72622,72566,1
72872,73031,1
72957,72951,1
73031,73063,1
73040,72707,1
73080,73156,1
73116,73080,1
73156,73181,1
73181,73102,1
73181,73361,1
73361,73445,1
73445,73498,1
73498,73846,1
73848,73878,1
73864,73871,1
73871,73887,1
73878,73864,1
73931,74018,1
73931,74073,1
73974,73925,1
74073,74087,1
74224,74245,1
74283,74224,1
74366,74472,1
74498,74503,1
74517,74534,1
74534,74545,1
74566,74639,1
74639,74648,1
74648,74953,1
74953,74972,1
74972,74953,1
75046,75208,1
75075,75097,1
75095,75046,1
75097,75107,1
