f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,label
923.4846,483.70105,0.0,0.0,0.0,0.0,1041.8176,1041.8176,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,922.9846,483.20105,0.0,0.0,pass
920.6162,485.03723,-0.71282226,0.32388428,0.7829538,0.22777852,1039.8992,1039.8992,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,920.1162,484.53723,0.0,0.0,pass
919.4784,487.3932,-0.8403208,0.93350613,1.2560146,0.47306082,1039.9934,1039.9934,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,918.9784,486.8932,0.0,0.0,pass
0.0,0.0,-61.037792,-37.48695,71.63019,-30.698648,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
594.4071,346.61536,87.86144,50.743176,101.46183,-42.763546,687.402,687.402,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,593.9071,346.11536,0.0,0.0,pass
0.0,0.0,-35.411118,-19.599321,40.47321,-17.34566,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
734.82764,261.08588,108.330505,38.266533,114.890495,-48.40203,779.19324,779.19324,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,734.32764,260.58588,0.0,0.0,pass
0.0,0.0,-46.938984,-16.602203,49.788567,-21.33796,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-42.389824,-15.885283,45.268524,-19.400795,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-42.36653,-30.02603,51.927692,-22.254725,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-52.027596,-26.643597,58.452988,-25.051277,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-58.802597,-24.00008,63.511803,-27.219343,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
496.7569,201.4971,72.29331,29.599524,78.11821,-34.897568,535.41644,535.41644,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,496.2569,200.9971,0.0,0.0,pass
493.38663,201.91525,49.59424,20.845112,53.796906,-24.321304,532.4522,532.4522,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,492.88663,201.41525,0.0,0.0,pass
458.49103,203.40714,-2.1881926,0.48177576,2.2406015,0.3111489,500.92624,500.92624,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,457.99103,202.90714,0.0,0.0,pass
0.0,0.0,-67.866806,-29.848915,74.14082,-31.774637,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-21.63207,-10.086069,23.867872,-10.229087,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
498.92462,264.31714,13.248079,-1.6923262,13.355732,-3.1651042,563.9385,563.9385,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,498.42462,263.81714,0.0,0.0,pass
529.0413,254.56992,10.08224,-1.5105509,10.19477,1.3689696,586.4362,586.4362,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,528.5413,254.06992,0.0,0.0,pass
602.1493,259.4251,12.153669,0.65249634,12.171172,-1.9067141,654.9993,654.9993,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,601.6493,258.9251,0.0,0.0,pass
610.23645,261.80878,10.933717,1.1718429,10.996334,-1.1748378,663.3708,663.3708,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,609.73645,261.30878,0.0,0.0,pass
